symbol1,symbol2
AMARAJABAT,PEL
AMARAJABAT,RECLTD
ASHOKLEY,HDFCLIFE
ASHOKLEY,RECLTD
AUBANK,MUTHOOTFIN
BAJAJ-AUTO,HDFCLIFE
BAJAJ-AUTO,PEL
BAJAJ-AUTO,PNB
BAJAJ-AUTO,RECLTD
BAJAJFINSV,RECLTD
BAJFINANCE,PEL
BAJFINANCE,RECLTD
BALKRISIND,HDFCLIFE
BALKRISIND,RECLTD
BHARATFORG,KOTAKBANK
BHARATFORG,MARUTI
BHARATFORG,SBIN
BOSCHLTD,RECLTD
CHOLAFIN,PEL
EICHERMOT,PEL
EICHERMOT,PNB
EICHERMOT,RECLTD
EXIDEIND,PEL
EXIDEIND,RECLTD
FEDERALBNK,RECLTD
HDFC,PEL
HDFC,RECLTD
HDFCBANK,PEL
HDFCBANK,RECLTD
HDFCLIFE,ASHOKLEY
HDFCLIFE,BAJAJ-AUTO
HDFCLIFE,BALKRISIND
HDFCLIFE,ICICIGI
HDFCLIFE,MOTHERSUMI
HDFCLIFE,SBIN
HEROMOTOCO,PEL
HEROMOTOCO,RECLTD
ICICIBANK,RECLTD
ICICIGI,HDFCLIFE
ICICIGI,RECLTD
IDFCFIRSTB,MUTHOOTFIN
IDFCFIRSTB,PFC
INDUSINDBK,PEL
KOTAKBANK,BHARATFORG
KOTAKBANK,PEL
KOTAKBANK,PNB
KOTAKBANK,RECLTD
M&M,RECLTD
MARUTI,BHARATFORG
MARUTI,PEL
MARUTI,PNB
MOTHERSUMI,HDFCLIFE
MOTHERSUMI,RECLTD
MUTHOOTFIN,AUBANK
MUTHOOTFIN,IDFCFIRSTB
PEL,AMARAJABAT
PEL,BAJAJ-AUTO
PEL,BAJFINANCE
PEL,CHOLAFIN
PEL,EICHERMOT
PEL,EXIDEIND
PEL,HDFC
PEL,HDFCBANK
PEL,HEROMOTOCO
PEL,INDUSINDBK
PEL,KOTAKBANK
PEL,MARUTI
PEL,SBILIFE
PEL,TATAMOTORS
PFC,IDFCFIRSTB
PNB,BAJAJ-AUTO
PNB,EICHERMOT
PNB,KOTAKBANK
PNB,MARUTI
PNB,SBIN
RECLTD,AMARAJABAT
RECLTD,ASHOKLEY
RECLTD,BAJAJ-AUTO
RECLTD,BAJAJFINSV
RECLTD,BAJFINANCE
RECLTD,BALKRISIND
RECLTD,BOSCHLTD
RECLTD,EICHERMOT
RECLTD,EXIDEIND
RECLTD,FEDERALBNK
RECLTD,HDFC
RECLTD,HDFCBANK
RECLTD,HEROMOTOCO
RECLTD,ICICIBANK
RECLTD,ICICIGI
RECLTD,KOTAKBANK
RECLTD,M&M
RECLTD,MOTHERSUMI
RECLTD,SBILIFE
RECLTD,TVSMOTOR
SBILIFE,PEL
SBILIFE,RECLTD
SBIN,BHARATFORG
SBIN,HDFCLIFE
SBIN,PNB
TATAMOTORS,PEL
TVSMOTOR,RECLTD
